"Eil.
Nr.",Kodas,"Įmonės, įstaigos pavadinimas",Adresas,Įmonės / įstaigos kontaktinis telefonas,Įmonės / įstaigos el. paštas,Įmonės / įstaigos tinklapio adresas
1,235014830,AB „Kauno energija“,Raudondvario pl. 84,30 56 50,info@kaunoenergija.lt,http://www.kaunoenergija.lt/
2,133154754,UAB „Kauno autobusai“,Raudondvario pl. 105,36 25 09,administracija@kaunoautobusai.lt,http://www.kaunoautobusai.lt/
3,132751369,UAB „Kauno vandenys“,Aukštaičių g. 43,30 17 01,ofisas@kaunovandenys.lt,https://www.kaunovandenys.lt/
4,132616649,UAB „Kauno švara“,Statybininkų g. 3,31 43 23,info@svara.lt,http://www.svara.lt/
5,132684155,UAB „Kauno gatvių apšvietimas“,Ringuvos g. 59,40 02 40,info@kaunosviesa.lt,http://www.kaunogatviuapsvietimas.lt/
6,133370321,UAB „Kauno aikštelė“,V. Krėvės pr. 42,8 650 74558,kaunoaikstele@gmail.com,http://kaunoaikstele.lt/
7,233923260,UAB „Stoties turgus“,M. K. Čiurlionio g. 25B,"22 48 82, 22 05 26,                      ",direkcija@stotiesturgus.lt,http://www.stotiesturgus.lt/
8,133607044,UAB „Centrinis knygynas“,Laisvės al. 81,22 31 01,centrinisknygynas@gmail.com,---
9,135641038,UAB Laboratorinių bandymų centras,R. Kalantos g. 85A,45 77 72,lbc@lbc.lt,http://lbc.lt/
10,132532496,UAB Kauno butų ūkis,Chemijos g. 18,35 03 64,info@kbu.lt,http://kbu.lt/
11,132626180,Kauno SĮ „Kapinių priežiūra“,Savanorių pr. 347 ,20 89 54,info@kaunokapiniuprieziura.lt,http://kaunokapiniuprieziura.lt/
12,133810450,Kauno SĮ „Kauno planas“,Kęstučio g. 66A,22 01 46,info@kaunoplanas.lt,http://kaunoplanas.lt/
13,135502259,VšĮ „Kauno miesto aplinkos kokybės tyrimai“,Vileikos g. 8-128,45 33 22                                                8 677 79606,j.kameneckas@gmail.com,http://193.219.38.28/
14,300092998,VšĮ Kauno regiono atliekų tvarkymo centras,Statybininkų g. 3,31 12 67,info@kaunoratc.lt,http://www.kaunoratc.lt/
15,136004852,VšĮ Kauno regioninė energetikos agentūra,Breslaujos g. 3B,"49 10 43
","info@krea.lt
krea@techpark.lt",www.krea.lt
16,135087311,VšĮ S. Dariaus ir S. Girėno aerodromas,Veiverių g. 132 / Karo Aviacijos g. 3,39 15 48,aleksotoaerodromas@gmail.com,www.aleksotasair.lt
17,135695071,VšĮ Kauno regiono plėtros agentūra,Laisvės al. 46,"40 88 08
861017002",kaunas.rda@krda.lt,www.krda.lt
18,134929849,VšĮ „Automobilių stovėjimo aikštelės“,Puodžių g. 24-1,32 16 48,asa@parkavimaskaune.lt,www.parkavimaskaune.lt
19,135047555,VšĮ Kauno Šilainių poliklinika,Baltų pr. 7,30 15 91,info@silainiupoliklinika.lt,http://www.silainiupoliklinika.lt/sil/
20,135041869,VŠĮ Kauno Šančių poliklinika,A. Juozapavičiaus pr. 72       ,34 20 24,info@sanciupoliklinika.lt,http://www.sanciupoliklinika.lt/
21,135044630,Všį Kauno Kalniečių poliklinika,Savanorių pr. 369                    ,31 16 81,info@kalnieciupoliklinika.lt,http://www.kalnieciupoliklinika.lt/
22,135042622,VšĮ Kauno Centro poliklinika,A. Mickevičiaus g. 4                              ,40 92 00,info@centropoliklinika.lt,http://www.centropoliklinika.lt/
23,135042394,VšĮ Kauno Dainavos poliklinika,Pramonės pr. 31,40 39 99,info@dainavospoliklinika.lt,http://www.dainavospoliklinika.lt
24,304159063,BĮ „Kauno biudžetinių įstaigų buhalterinė apskaita“,T. Masiulio g. 10 ,8 685 65431,biudzetiniu.istaigu.buhalterine.apskaita@kaunas.lt,www.kba.lt
25,304295469,VšĮ „Nacionalinis žiedas“,"Nemuno g. 20, Gaižėnėlių km., Kauno raj.",8 610 92349,info@nemunoziedas.lt,www.nemunoziedas.lt
26,133556183,VšĮ S. Dariaus ir S. Girėno sporto centras,Perkūno al. 5,20 05 14       ,info@sportohale.lt,http://sportohale.lt/
27,303463871,VšĮ Aleksoto teniso centras,Veiverių g. 151,,,
28,303477440,"VšĮ „Kelininko"" stadionas",Aukštaičių g. 51,,admin@ollo.lt,
29,304599447,VšĮ „Krepšinio namai“,"Įstaigos buveinė - Jogailos g. 9, Vilniaus m. sav., Vilniaus miestas",,,
30,304471351,Kauno sporto mokykla „Startas“,Miško g. 3,42 23 52,info@smstartas.lt,http://www.smstartas.lt/
31,190141496,Kauno sporto mokykla „Tauras“,Neries krant. 7B,26 26 78,info@futbolomokykla.lt ,http://www.kaunotauras.lt/
32,190140818,Kauno krepšinio mokykla „Aisčiai“,Miško g. 3,32 02 35    8 650 47331,kaunasbs@gmail.com,http://kmaisciai.lt/
33,195470111,Kauno plaukimo mokykla,Demokratų g. 34,36 20 91,kpm@swim.lt,http://swim.lt/
34,295096180,Kauno žiemos sporto mokykla „Baltų ainiai“,Aušros g. 42C,33 51 81,baltuainiai@ledoarena.com,http://www.ledoarena.lt/
35,195096375,Kauno sporto mokykla „Bangpūtys“,R. Kalantos g. 124,38 44 40  arba  40 76 74,mokykla.sailing@gmail.com,http://bangputys.weebly.com/
36,304184262,Kauno sporto mokykla „Gaja“,Partizanų g. 180,42 34 79,smgaja@gmail.com,http://smgaja.lt/
37,135134113,VšĮ K. Griniaus slaugos ir palaikomojo gydymo ligoninė,Kruonio g. 21,"34 59 85
8 687 70110",info@kgriniausligonine.lt,http://www.kgriniausligonine.lt/
38,135082150,VšĮ Kauno Panemunės slaugos ir palaikomojo gydymo ligoninė,Raudonojo kryžiaus g. 1,34 61 85,rastine@panemune.lt,http://panemune.lt/
39,135044783,VšĮ Kauno slaugos ligoninė,Armatūrininkų g. 4,37 04 30        8 614 74791,info@kaunoslauga.lt,http://kaunoslauga.lt
40,235042580,VšĮ Kauno miesto greitosios medicinos pagalbos stotis,Pramonės pr. 33,40 86 79,kaunogmp@greitojipagalba.lt,http://greitojipagalba.lt/
41,301162638,VšĮ „DOMUS PACIS“ (DP),Papilio g. 9,"8 682 47794
22 46 59",info@domuspacis.lt,www.domuspacis.lt
42,302573681,VšĮ Kauno tvirtovės parkas,M. Daukšos g. 34,"8 635 57462 
8 682 57002",kauno.tvirtoves.projektai@gmail.com,http://atfort.kaunas.lt/
43,302921554,VšĮ „Prisikėlimo projektai“,Aukštaičių g. 6,22 92 22,parapija@prisikelimas.lt,
44,303311148,VšĮ „Domus laudis“,Benediktinų g. 10,8 686 92646,domuslaudis@gmail.com,
45,303339489,VšĮ „Karmelitų projektai“,Gedimino g. 5A,8 614 05600,projektaikarmelitu@gmail.com,
46,303224896,VšĮ „Soboro projektai“,Nepriklausomybės a. 14,,soboroprojektai@gmail.com,
47,300618836,VšĮ Kauno architektūros ir urbanistikos ekspertų taryba,Vilniaus g. 22,42 22 48,,
48,135491916,VšĮ „Kaunas IN“,Mickevičiaus g. 58,8 616 23828,info@kaunasin.lt,www.visit.kaunas.lt
49,300710505,VšĮ Pažaislio kultūros ir turizmo centras,T. Masiulio g. 31,45 88 68,info@pazaislis.org,www.pazaislis.org
50,135550072,BĮ Kauno kultūros centras „Tautos namai“,Vytauto pr. 71,32 06 61,info@tautosnamai.lt,www.tautosnamai.lt
51,300154670,BĮ Kauno miesto muziejus,Rotušės a. 15,20 79 47,muziejus@kaunomuziejus.lt,www.kaunomuziejus.lt
52,290145360,BĮ Kauno miesto savivaldybės Vinco Kudirkos viešoji biblioteka,Laisvės al. 57,22 63 22,nomedadom@kaunas.mvb.lt,www.kaunas.mvb.lt
53,190149767,BĮ koncertinė įstaiga Kauno miesto simfoninis orkestras,M. Daukšos g. 34,20 45 89,kaunosimfoninis@yahoo.com,www.kaunosimfoninis.lt
54,302877054,BĮ Koncertinė įstaiga „Kauno santaka“,L. Zamenhofo g. 6,22 03 85,info@kaunosantaka.lt,www.kaunosantaka.lt
55,188204249,BĮ Kauno menininkų namai,V.Putvinskio g. 56,22 31 44,kmn@kmn.lt,http://www.kmn.lt/
56,188205874,BĮ Kauno šokio teatras „Aura“,M. Daukšos g. 30A,20 20 62,info@aura.lt,www.aura.lt
57,135977117,VšĮ „Girstučio“ kultūros ir sporto centras,Kovo 11-osios g. 26,45 64 90,rumai@girstutis.lt,www.girstutis.lt
58,304157265,VšĮ Kauno miesto kamerinis teatras,Kęstučio g. 74A,20 15 39,info@kamerinisteatras.lt,www.kamerinisteatras.lt
59,304497759,VšĮ „Kaunas 2022“,Vytauto pr. 69,,info@kaunas2022.eu,www.kaunas2022.eu
60,132082597,BĮ Kauno kino centras „Romuva“,Laisvės al. 54,20 27 88,info@kcromuva.lt,www.kcromuva.lt
61,135890769,VšĮ „Teatro projektai“,Laisvės al. 99-19,"22 53 18
 8 687 29628",info@teatroprojektai.lt,www.stylem.lt
62,300022409,VšĮ Kauno įvairių tautų kultūrų centras,Šv. Gertrūdos g. 58,426680,info@minority.lt ,www.minority.lt
63,300567434,VšĮ „Artkomas“,Šiaurės pr. 5-15,8 616 43643,artkomas@gmail.com,http://www.artkomas.lt
64,302618703,VšĮ Prezidento Valdo Adamkaus biblioteka – muziejus,S. Daukanto g. 25,75 10 47,adamkuslibrary@gmail.com,www.adamkuslibrary.lt
65,300531121,VšĮ „Mano teatras“,Kęstučio g. 62,8 682 14209,nijolelepes@gmail.com,-
66,301676575,Kauno miesto savivaldybės visuomenės sveikatos biuras,Aušros g. 42A,45 47 17,administracija@kaunovsb.lt ,http://www.kaunovsb.lt/ 
67,304084529,Kauno miesto Aleksoto vietos veiklos grupė,Veiverių g. 132,8 698 58895,arunas.samochinas@gmail.com,http://www.aleksotas.lt/articles/view/201
68,304084109,Kauno miesto Žaliakalnio vietos veiklos grupė,Partizanų g. 5,8 616 13981,zaliakalnio.vvg@gmail.com,http://www.xn--aliakalniovvg-v5c.lt/
69,135144374,Kauno kartų namai,Sąjungos a. 13A,36 35 46,info@kartunamai.lt,http://www.kartunamai.lt/
70,135950440,Kauno miesto socialinių paslaugų centras,Partizanų g. 38D,32 24 62,info@kaunospc.lt ,http://www.kaunospc.lt/
71,135135553,Kauno neįgaliojo jaunimo užimtumo centras,Danų g. 15,49 04 15,info@nju.lt,http://www.nju.lt/lt/
72,191830124,Kauno savivaldybės vaikų globos namai,Birutės g. 29A,74 55 30,svgn@svgn.kaunas.lm.lt,http://www.musuvaikai.lt/
73,235144560,Vaikų gerovės centras „Pastogė“,P. Plechavičiaus g. 21,31 39 12,pastoge@kalnieciai.lt,http://pastoge.lt/
74,304447941,VšĮ Kauno Panemunės socialinės globos namai,Kurtinių g. 1D,40 75 14,info@kaunoseneliai.lt,http://www.kaunoseneliai.lt/
75,191633714,Kauno Aleksoto lopšelis-darželis,Antanavos g. 17,39 15 93,darzelis@aleksotas.kaunas.lm.lt ,http://www.aleksotas.kaunas.lm.lt
76,191638070,Kauno lopšelis-darželis „Atžalėlė“,K. Donelaičio g. 9A,20 95 87,darzelis@atzalele.kaunas.lm.lt,http://www.atzalele.kaunas.lm.lt
77,191640865,Kauno lopšelis-darželis „Aušrinė“,Baltų pr. 49,37 75 28                                         ,ausrine.vpc@dokeda.lt,http://www.ausrine.lt/
78,191635341,Kauno lopšelis-darželis „Aviliukas“,A. Mackevičiaus g. 101,42 28 90,aviliukasvd@gmail.com,http://www.aviliukas.net/
79,291642340,Kauno lopšelis-darželis „Ąžuoliukas“,Margio g. 17,42 33 20,azuoliukas.kaunas@gmail.com,www.kaunoazuoliukas.lt
80,191638451,Kauno lopšelis-darželis „Bitutė“,Taikos pr. 10,73 24 59,ldbitute50@gmail.com,http://www.bitute.kaunas.lm.lt
81,195473374,Kauno  lopšelis-darželis „Boružėlė“,Bitininkų g. 19,42 01 65 ,ldboruzele@gmail.com,http://www.ld-boruzele.lt/
82,191635722,Kauno lopšelis-darželis „Čiauškutis“,Prancūzų g. 68A,34 80 39,ciauskutis.darzelis@gmail.com,http://lopselisdarzelis.lt/
83,191637698,Kauno lopšelis-darželis „Daigelis“,Žagarės g. 5,26 65 63,lddaigelis@gmail.com,http://daigelis.mir.lt
84,191633333,Kauno lopšelis-darželis „Dobilėlis“,Panerių g. 44,36 35 30,dobilelis@mikrovisata.net,http://www.dobilelis.mir.lt
85,191634969,Kauno lopšelis-darželis „Drevinukas“,R.Kalantos g. 116,45 40 63,drevinukas1@gmail.com,http://www.drevinukas.kaunas.lm.lt
86,291637350,Kauno lopšelis-darželis „Eglutė“,A. ir J. Gravrogkų g. 11,35 14 96,darzeliseglute@hotmail.com,http://www.eglute.kaunas.lm.lt
87,191828810,Kauno lopšelis-darželis „Ežiukas“,A. Mapu g. 12,42 34 43,eziukas4@gmail.com,http://www.darzeliseziukas.lt/
88,191634392,Kauno lopšelis-darželis „Gandriukas“,Ukmergės g. 19,38 65 99,ldg@gandriukas.kaunas.lm.lt,http://www.gandriukas.kaunas.lm.lt
89,191639172,Kauno lopšelis-darželis „Giliukas“,Apuolės g. 29,75 50 22,giliuk@giliukas.kaunas.lm.lt,http://www.giliukas.kaunas.lm.lt
90,191641052,Kauno lopšelis-darželis „Gintarėlis“,Baltijos g. 28,37 75 75,l.d.gintarelis@gmail.com,http://www.kaunogintarelis.lt
91,191633529,Kauno lopšelis-darželis „Girinukas“,Partizanų g. 52,31 28 99,girinukas@dokeda.lt,http://www.girinukas.kaunas.lm.lt
92,191642535,Kauno lopšelis-darželis „Girstutis“,Kovo 11-osios g. 25B,45 46 49,girstutis.darzelis@gmail.com,http://www.girstutis.kaunas.lm.lt 
93,191638113,Kauno lopšelis-darželis „Klausutis“,Kovo 11-osios g. 14,45 43 09,ld@klausutis.kaunas.lm.lt,http://www.klausutis.lt
94,191642720,Kauno lopšelis-darželis „Klevelis“,Griunvaldo g. 26A,42 24 48,klevelis@gmail.com,http://www.klevelis.lt/
95,191640299,Kauno lopšelis-darželis „Klumpelė“,Pienių g. 14,37 75 81,klumpele.darzelis@gmail.com,http://www.klumpele.lt/
96,191641967,Kauno lopšelis-darželis „Kodėlčiukas“,S. Raštikio g. 21,31 40 73,info@kodelciukas.com,http://www.kodelciukas.kaunas.lm.lt/
97,191640146,Kauno lopšelis-darželis „Kregždutė“,P. Plechavičiaus g. 21,31 24 50,kregzdute95@gmail.com,http://www.ldkregzdute.lt/
98,191633290,Kauno lopšelis-darželis „Kūlverstukas“,Birželio 23-iosios g. 21,73 17 32,ld.kulverstukas@yahoo.com,http://www.kulverstukas.kaunas.lm.lt/
99,191641629,Kauno lopšelis-darželis „Lakštutė“,Parko g. 10,37 35 88,dlakstute@yahoo.com,http://www.lakstute.kaunas.lm.lt
100,191639553,Kauno lopšelis-darželis „Liepaitė“,K. Genio g. 7,73 24 68,liepaitedarzelis@gmail.com,http://liepaite.lt
101,191638832,Kauno lopšelis-darželis „Linelis“,Savanorių pr. 236A,31 23 35,darzelis_linelis@inbox.lt,http://www.linelis.kaunas.lm.lt/
102,191638266,Kauno lopšelis-darželis „Malūnėlis“,Kovo 11-osios g. 48,35 12 46,malunelis@hotmail.com,http://www.ldmalunelis.lt
103,191639934,Kauno lopšelis-darželis „Mažylis“,P. Plechavičiaus g. 13,38 67 35,darz.mazylis@gmail.com,http://www.mazylisld.lt
104,191641586,Kauno lopšelis-darželis „Naminukas“,Ašigalio g. 39,38 66 08                                           8 671 39404,naminukas39@gmail.com ,http://www.ldnaminukas.lt
105,191642873,Kauno lopšelis-darželis „Nežiniukas“,Vakarų g. 14,73 35 42,neziniukasdarzelis@gmail.com,http://www.neziniukas.ikimokyklinis.lt
106,191641771,Kauno lopšelis-darželis „Obelėlė“,K. Baršausko g. 76,45 14 27,darz.obelele@gmail.com,http://www.obelele.kaunas.lm.lt
107,191636062,Kauno lopšelis-darželis „Pagrandukas“,V. Krėvės pr. 58,31 42 02                                          31 41 80,darzelis@pagrandukas.kaunas.lm.lt,http://www.ldpagrandukas.lt/
108,291635680,Kauno Panemunės lopšelis-darželis,Vaidoto g. 26A,34 58 77                                            34 58 62,panemunes28@gmail.com ,http://www.panemunesld.kaunas.lm.lt
109,291634240,Kauno lopšelis-darželis „Pasaka“,V. Krėvės pr. 63a,31 41 07,pasaka.p@gmail.com,http://www.kaunopasaka.lt
110,191642154,Kauno sanatorinis lopšelis-darželis „Pienė“,Birutės g. 9,34 54 54,info@piene.lt,http://www.piene.lt
111,191637926,Kauno lopšelis-darželis „Pušaitė“,Varnių g. 49,36 30 86                                   36 31 42,ldpusaite@yahoo.com,http://www.kaunopusaite.lt
112,191635875,Kauno sanatorinis lopšelis-darželis „Pušynėlis“,Vaidoto g. 7A,34 58 83                                            34 58 82,ldpusynelis@gmail.com,http://www.pusynelis.kaunas.lm.lt/
113,191634620,Kauno lopšelis-darželis „Radastėlė“,Tvirtovės al. 86A,73 00 80                                                 33 16 43,ldradastele@gmail.com,http://www.radastele.lt
114,191637011,Kauno lopšelis-darželis „Rasytė“,Rasytės g. 5,36 28 72                                 36 23 43,rasytesdarzelis@gmail.com,http://www.kaunorasyte.lt
115,191097825,Kauno lopšelis-darželis „Rokutis“,Baltaragio g. 2,43 60 49,ldrokutis@gmail.com,http://www.ldrokutis.lt/
116,191634588,Kauno  lopšelis-darželis „Sadutė“,Partizanų g. 122,31 23 30,sadute@gmail.com,http://www.sadute.kaunas.lm.lt/
117,191636258,Kauno  lopšelis-darželis „Saulutė“,V. Krėvės pr. 56,31 20 33                                             31 20 48,darzelis@kaunosaulute.lt,www.kaunosaulute.lt
118,191642492,Kauno lopšelis-darželis „Smalsutis“,Taikos pr. 72,45 46 20,smalsutis2@gmail.com,http://www.smalsutis.kaunas.lm.lt
119,191642916,Kauno lopšelis-darželis „Spindulėlis“,Kalniečių g. 245A,73 16 94                                             73 17 49,spindulelis_kaunas@hotmail.com,http://spindulelis.com/
120,191635537,Kauno lopšelis-darželis „Spindulys“,Sukilėlių pr. 71,38 67 73                                     38 67 37,dspindulys@takas.lt,http://www.spindulys.kaunas.lm.lt/
121,191634773,Kauno lopšelis-darželis „Spragtukas“,Kęstučio g. 44A,42 24 87,darzelis@spragtukas.lt,http://www.spragtukas.lt/
122,191638647,Kauno lopšelis-darželis „Svirnelis“,S. Lozoraičio g. 24,31 17 35,svirnelisld@gmail.com,http://www.svirnelis.kaunas.lm.lt/
123,191640484,Kauno Šančių lopšelis-darželis,Miglovaros g. 14,34 15 06,sanciudarzelis@gmail.com,http://www.sanciuld.kaunas.lm.lt/
124,191640712,Kauno lopšelis-darželis „Šarkelė“,Šarkuvos g. 24,37 76 00,sarkele@parabole.lt,http://www.sarkele.lt
125,191643594,Kauno lopšelis-darželis „Šermukšnėlis“,A. Ramanausko-Vanago g. 6,31 20 15,ldsermuksnelis@gmail.com,http://sermuksnelis.mir.lt 
126,191636639,Kauno lopšelis-darželis „Šilelis“,R. Kalantos g. 118,45 67 33,sileliskaunas@gmail.com,http://www.kaunosilelis.lt
